id,letter,case,font,size,width,height,weight,density,x_center,y_center,x_rel_center,y_rel_center,x_axial,y_axial,x_rel_axial,y_rel_axial,orientation_angle
1,в_титло,lower,original,uni_size,21,49,246.53333333333333,0.23958535795270489,24.151846785225718,10.023923901632042,0.49289483235154524,0.4773297096015258,10044.353013537042,15816.89596309112,0.16526111259808882,0.26023755051080055,-0.12164279112366337
2,в_титло,lower,original,uni_size,23,44,278.56470588235294,0.27526156707742383,23.82713911647943,10.828560970802712,0.5415258890108962,0.4708069987305527,12667.687119617394,17395.4448674951,0.16324697675775232,0.22417302836419478,-0.3326275081371984
3,глагол_титло,lower,original,uni_size,20,64,257.3058823529412,0.2010202205882353,30.54880892506058,7.737643454803164,0.47732513945407157,0.38688217274015824,7750.375664435222,56585.65858595095,0.11706399033642738,0.8546866986438972,-0.15329555490325883
4,глагол_титло,lower,original,uni_size,18,38,186.17254901960783,0.27218208920995296,19.212453132240807,6.429266545898808,0.5055908719010739,0.357181474772156,4136.858733573052,13577.855677287134,0.1193546657024349,0.3917417851778564,-0.15406392070386601
5,глагол_титло,lower,original,uni_size,20,43,272.41568627450977,0.3167624259005927,21.837819940690412,9.542725937868887,0.5078562776904747,0.4771362968934444,6529.93603692708,25985.00737039929,0.08799230696647174,0.35015362051512516,-0.08123587149721503
6,добро_титло,lower,original,uni_size,25,58,376.6156862745098,0.2597349560513861,25.5666461884482,12.664827097889356,0.4408042446284172,0.5065930839155742,14419.216154721413,46660.810514003286,0.1016587681641567,0.32896937444422075,-0.17774166854674858
7,добро_титло,lower,original,uni_size,21,54,271.9843137254902,0.23984507383200196,25.508045446680892,9.994593113789723,0.4723712119755721,0.4759330054185582,8842.395970265377,29440.47259074805,0.11953146548838117,0.39797616452331513,-0.05513083394864607
8,добро_титло,lower,original,uni_size,24,52,303.5960784313726,0.24326608848667675,28.328571244042006,12.014131263159253,0.544780216231577,0.5005888026316355,12929.609962345505,36243.337777511,0.1402791446600692,0.3932202470037167,-0.2976341635175723
9,ж_титло,lower,original,uni_size,27,66,368.9607843137255,0.20704870051275281,30.429260774831267,12.861380666418661,0.4610494056792616,0.47634743208958,20126.11030059385,53271.34292190937,0.14784254529876084,0.3913210655923824,0.05283132598071844
10,ж_титло,lower,original,uni_size,29,78,452.0980392156863,0.1998665071687384,37.21301123303119,14.481025285162858,0.47708988760296395,0.4993456994883744,29702.4225208286,93653.23954176648,0.14532041343407898,0.4582026088985375,-0.1270681081864142
11,к_титло,lower,original,uni_size,19,64,268.5686274509804,0.2208623581011352,35.697568810688466,9.566284587865956,0.5577745126670073,0.5034886625192608,8142.291572993657,48262.38449100776,0.11288496195463006,0.6691110712833451,-0.14790424349960893
12,нашъ_титло,lower,original,uni_size,19,42,202.69019607843137,0.2539977394466559,20.281875169291492,9.904306775529157,0.4829017897450355,0.5212793039752188,6576.340005144185,14073.15435552389,0.16007325385722068,0.34255157244933776,0.011951639688243962
13,нашъ_титло,lower,original,uni_size,18,48,208.94901960784313,0.24183914306463325,27.182444352689465,8.611407229458354,0.5663009240143638,0.47841151274768634,4683.722300729158,25240.58611155885,0.10727794908481567,0.5781210195414818,0.008257644431339169
14,нашъ_титло,lower,original,uni_size,20,62,345.77647058823527,0.27885199240986713,29.256416363285815,8.501037732639244,0.4718776832788035,0.4250518866319622,8909.079039401819,62939.52816644106,0.07451469665585866,0.5264202762421696,0.0780963957108047
15,оно_титло,lower,original,uni_size,14,48,169.1058823529412,0.25164565826330537,21.71014795232132,7.394647743611148,0.4522947490066942,0.5281891245436534,2310.8466066636292,19515.631918651234,0.08080787540569409,0.6824411226596439,-0.20389692616969812
16,оно_титло,lower,original,uni_size,19,39,237.61960784313726,0.32067423460612315,20.548792764840822,8.95862558381331,0.5268921221754057,0.47150660967438474,7061.74617387694,17240.07840859117,0.12506838840656173,0.30533366245044447,-0.3240996029833731
17,оно_титло,lower,original,uni_size,17,56,197.34509803921569,0.2072952710495963,26.259543349959266,7.719074776940962,0.4689204169635583,0.45406322217299777,4182.4923926337815,29615.95727178895,0.10739460706040029,0.7604542448237445,-0.1093573939269549
18,острое_ударение,lower,original,uni_size,8,7,27.972549019607843,0.49950980392156863,3.7822795457731675,3.4978270012617414,0.5403256493961668,0.4372283751577177,118.99300517066493,48.99952993955188,0.1520748320852057,0.06262212873037336,0.4362967824043135
19,острое_ударение,lower,original,uni_size,8,12,52.964705882352945,0.5517156862745098,5.756256478602102,3.433585073300755,0.47968803988350855,0.4291981341625944,233.03108161078734,631.2376326570907,0.08306933256170357,0.22501929129022666,-0.16439328448513627
20,острое_ударение,lower,original,uni_size,7,4,19.945098039215686,0.7123249299719888,0.9508454581203303,2.8480141565080612,0.23771136453008257,0.4068591652154373,74.31182330580678,12.963573978549343,0.1868037397525474,0.032587601703517856,0.05077124167609098
21,слово_титло,lower,original,uni_size,16,44,179.92941176470586,0.255581550802139,20.074996730744086,7.494529445098297,0.45624992569872924,0.46840809031864356,3566.012262316548,15167.28994607651,0.11014848088761896,0.46849360682150193,-0.22476027684894126
22,слово_титло,lower,original,uni_size,17,66,210.5176470588235,0.18762713641606374,31.168305949852837,7.958235535188704,0.4722470598462551,0.46813150206992377,4512.424957136836,45054.44845389443,0.101819973097019,1.016624713552538,-0.1467712797916133
23,слово_титло,lower,original,uni_size,14,49,136.51372549019607,0.19899959983993595,17.6170463359283,6.629082761196175,0.35953155787608776,0.4735059115140125,2108.2459475002547,15807.144489036315,0.11312761638315792,0.8482049165037624,-0.22742009595667564
24,слово_титло,lower,original,uni_size,14,67,209.03529411764706,0.22285212592499687,30.803935914753115,5.597797538646256,0.4597602375336286,0.39984268133187545,3210.785025219753,53919.74876174544,0.0734804807691346,1.233981419136846,-0.14139542766167765
25,слово_титло,lower,original,uni_size,14,48,116.71764705882352,0.17368697478991596,21.16947216342439,5.160434096025266,0.4410306700713415,0.3686024354303762,2261.7761850646248,11310.749734932106,0.16602618134214756,0.8302680870936083,-0.22638478629666753
26,слово_титло,lower,original,uni_size,14,37,228.9529411764706,0.4419940949352714,16.40182929962489,5.792473836562012,0.44329268377364567,0.41374813118300086,4156.594560799158,15415.353273061959,0.07929489184679127,0.29407697880750583,-0.16713066643601202
27,т_титло,lower,original,uni_size,7,20,91.78823529411764,0.6556302521008402,9.01350081175767,2.5701102281466297,0.4506750405878835,0.3671586040209471,306.37823182592695,2506.900916641116,0.03636502285945129,0.29755217463305095,-0.09100284275694911
28,т_титло,lower,original,uni_size,15,45,143.4392156862745,0.2125025417574437,26.715640976569976,6.362140142712634,0.5936809105904439,0.4241426761808423,2157.6513398808956,15180.930909009036,0.10486859839987213,0.7378406869577706,-0.023386084734431056
29,т_титло,lower,original,uni_size,9,20,118.7764705882353,0.6598692810457517,9.87074088748019,3.3054344955097728,0.4935370443740095,0.36727049950108587,573.0408842432906,3542.8272571548428,0.04061858367141541,0.2511245346274785,-0.020981097858588146
30,т_титло,lower,original,uni_size,17,41,212.3294117647059,0.3046333023883872,21.10872857565011,6.355514923167848,0.5148470384304905,0.3738538190098734,4357.77918919193,17125.305548529992,0.09665958081048451,0.3798551472451552,-0.1425596174589645
31,титло,lower,original,uni_size,5,32,92.88627450980393,0.5805392156862745,14.545849869120998,1.275014776661319,0.4545578084100312,0.2550029553322638,139.06099507775752,6949.865517812292,0.01611766941068723,0.8055144061222799,-0.015300008819328937
32,титло,lower,original,uni_size,6,24,78.0,0.5416666666666666,11.29894419306184,1.586626445449975,0.4707893413775767,0.26443774090832917,119.00095150780272,2791.892069913939,0.019559656723833453,0.4588908727669196,0.04052639146997508
33,титло,lower,original,uni_size,7,28,82.05490196078432,0.41864745898359346,12.812081819919708,2.059023131332441,0.45757435071141817,0.29414616161892015,188.3612016972723,5086.3964930036245,0.02797579201885399,0.7554420397168148,-0.11994444816156276
34,титло,lower,original,uni_size,5,26,65.96078431372548,0.5073906485671191,13.414803804994058,1.4752080856123664,0.5159539924997715,0.2950416171224733,85.24181086941317,3446.991819029633,0.019592102544051065,0.7922616436480052,0.006539723522876324
35,титло,lower,original,uni_size,6,30,84.00392156862745,0.4666884531590414,14.349656878763831,1.8684935343821483,0.4783218959587944,0.3114155890636914,140.34724033864515,6506.051254815917,0.01988862484959827,0.9219733309117447,-0.07503827704967038
36,у_титло,lower,original,uni_size,19,44,200.05490196078432,0.23930012196266068,20.192025718430234,7.546536244952366,0.45890967541886896,0.3971861181553877,4654.2314625666,16783.79967083238,0.11629193125042253,0.4193647207148056,0.04911082732459039
37,у_титло,lower,original,uni_size,19,45,180.17254901960783,0.21072812750831324,26.242773811596727,8.64600383075048,0.5831727513688162,0.4550528331973937,4085.1161031502975,15689.820003550783,0.12584244813716136,0.48332662040024116,-0.1395770419933255
38,херъ_титло,lower,original,uni_size,20,71,285.84313725490193,0.20129798398232532,25.886088626697767,8.207902318562217,0.3645927975591235,0.41039511592811084,8073.378228488267,56421.45566222537,0.09880974069151681,0.6905398515518718,-0.11285479452655747
39,херъ_титло,lower,original,uni_size,24,44,226.21568627450978,0.21421939988116456,21.63063188003814,10.705053306752191,0.49160527000086685,0.4460438877813413,9327.834419455223,22861.054405756753,0.1822784786422775,0.4467358692118645,0.015331910892832142
40,херъ_титло,lower,original,uni_size,22,76,405.99607843137255,0.24282062107139507,30.987713587497222,9.280491456500112,0.4077330735197003,0.4218405207500051,14591.018857234092,85633.923026209,0.08852010927025467,0.51951987024966,-0.08878945652065376
